Product_ID,Sub_Category_ID,Product_Name,Product ID_x,Product_Total_Sales,Product ID_y,Product_Order_Count
TEC-PH-10000486,8,Plantronics HL10 Handset Lifter,TEC-PH-10000486,2227.008,TEC-PH-10000486,3
TEC-PH-10004093,8,Panasonic Kx-TS550,TEC-PH-10004093,846.216,TEC-PH-10004093,7
OFF-ST-10003479,5,"Eldon Base for stackable storage shelf, platinum",OFF-ST-10003479,872.256,OFF-ST-10003479,7
OFF-ST-10003282,5,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",OFF-ST-10003282,1051.7759999999998,OFF-ST-10003282,4
TEC-AC-10000171,12,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",TEC-AC-10000171,248.292,TEC-AC-10000171,5
OFF-BI-10003291,9,Wilson Jones Leather-Like Binders with DublLock Round Rings,OFF-BI-10003291,238.329,OFF-BI-10003291,12
OFF-ST-10001713,5,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",OFF-ST-10001713,953.82,OFF-ST-10001713,6
TEC-AC-10002167,12,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,TEC-AC-10002167,357.0,TEC-AC-10002167,8
TEC-PH-10003988,8,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",TEC-PH-10003988,261.6,TEC-PH-10003988,8
OFF-BI-10004410,9,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",OFF-BI-10004410,85.995,OFF-BI-10004410,4
OFF-LA-10002762,3,Avery 485,OFF-LA-10002762,639.03,OFF-LA-10002762,8
FUR-FU-10001706,6,Longer-Life Soft White Bulbs,FUR-FU-10001706,106.568,FUR-FU-10001706,9
FUR-CH-10003061,2,"Global Leather Task Chair, Black",FUR-CH-10003061,1448.839,FUR-CH-10003061,8
OFF-FA-10000304,14,Advantus Push Pins,OFF-FA-10000304,54.936,OFF-FA-10000304,7
TEC-PH-10002447,8,AT&T CL83451 4-Handset Telephone,TEC-PH-10002447,1936.306,TEC-PH-10002447,4
OFF-ST-10000604,5,Home/Office Personal File Carts,OFF-ST-10000604,980.232,OFF-ST-10000604,7
OFF-PA-10001569,11,Xerox 232,OFF-PA-10001569,120.52799999999999,OFF-PA-10001569,4
FUR-CH-10003968,2,Novimex Turbo Task Chair,FUR-CH-10003968,1341.5220000000002,FUR-CH-10003968,6
OFF-PA-10000587,11,"Array Parchment Paper, Assorted Colors",OFF-PA-10000587,62.608,OFF-PA-10000587,3
OFF-BI-10001460,9,Plastic Binding Combs,OFF-BI-10001460,269.67,OFF-BI-10001460,5
OFF-AR-10001868,7,Prang Dustless Chalk Sticks,OFF-AR-10001868,38.976,OFF-AR-10001868,8
TEC-AC-10004633,12,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",TEC-AC-10004633,184.536,TEC-AC-10004633,6
OFF-BI-10001078,9,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",OFF-BI-10001078,175.388,OFF-BI-10001078,7
OFF-PA-10003892,11,Xerox 1943,OFF-PA-10003892,743.432,OFF-PA-10003892,4
FUR-FU-10000397,6,Luxo Economy Swing Arm Lamp,FUR-FU-10000397,338.98,FUR-FU-10000397,5
FUR-CH-10001146,2,"Global Value Mid-Back Manager's Chair, Gray",FUR-CH-10001146,2247.176,FUR-CH-10001146,14
OFF-AR-10002671,7,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",OFF-AR-10002671,1113.024,OFF-AR-10002671,1
TEC-PH-10002726,8,netTALK DUO VoIP Telephone Service,TEC-PH-10002726,1112.788,TEC-PH-10002726,7
OFF-PA-10000482,11,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",OFF-PA-10000482,1016.7919999999999,OFF-PA-10000482,6
OFF-BI-10004654,9,Avery Binding System Hidden Tab Executive Style Index Sets,OFF-BI-10004654,214.573,OFF-BI-10004654,11
OFF-PA-10004675,11,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",OFF-PA-10004675,99.06,OFF-PA-10004675,6
FUR-CH-10000513,2,High-Back Leather Manager's Chair,FUR-CH-10000513,4770.633,FUR-CH-10000513,9
FUR-FU-10003708,6,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",FUR-FU-10003708,1322.17,FUR-FU-10003708,6
OFF-ST-10004123,5,Safco Industrial Wire Shelving System,OFF-ST-10004123,2511.0480000000002,OFF-ST-10004123,8
OFF-BI-10004182,9,Economy Binders,OFF-BI-10004182,26.624000000000002,OFF-BI-10004182,3
FUR-FU-10000260,6,"6"" Cubicle Wall Clock, Black",FUR-FU-10000260,100.316,FUR-FU-10000260,3
OFF-ST-10000615,5,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",OFF-ST-10000615,347.31,OFF-ST-10000615,8
FUR-FU-10003194,6,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",FUR-FU-10003194,108.08,FUR-FU-10003194,4
OFF-AP-10002118,10,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",OFF-AP-10002118,2706.08,OFF-AP-10002118,6
OFF-BI-10002309,9,Avery Heavy-Duty EZD  Binder With Locking Rings,OFF-BI-10002309,92.628,OFF-BI-10002309,5
OFF-AR-10002053,7,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",OFF-AR-10002053,81.652,OFF-AR-10002053,7
OFF-ST-10002370,5,"Sortfiler Multipurpose Personal File Organizer, Black",OFF-ST-10002370,483.414,OFF-ST-10002370,6
OFF-EN-10000927,13,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,OFF-EN-10000927,552.706,OFF-EN-10000927,4
OFF-ST-10003656,5,Safco Industrial Wire Shelving,OFF-ST-10003656,1363.058,OFF-ST-10003656,5
FUR-CH-10000863,2,Novimex Swivel Fabric Task Chair,FUR-CH-10000863,2385.484,FUR-CH-10000863,7
TEC-AC-10001998,12,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,TEC-AC-10001998,207.896,TEC-AC-10001998,6
OFF-LA-10000134,3,Avery 511,OFF-LA-10000134,56.672,OFF-LA-10000134,6
OFF-ST-10003442,5,Eldon Portable Mobile Manager,OFF-ST-10003442,899.304,OFF-ST-10003442,9
OFF-AR-10004930,7,Turquoise Lead Holder with Pocket Clip,OFF-AR-10004930,37.52,OFF-AR-10004930,3
OFF-PA-10000304,11,Xerox 1995,OFF-PA-10000304,95.904,OFF-PA-10000304,5
OFF-PA-10003177,11,Xerox 1999,OFF-PA-10003177,98.49600000000001,OFF-PA-10003177,7
FUR-FU-10003799,6,"Seth Thomas 13 1/2"" Wall Clock",FUR-FU-10003799,316.48400000000004,FUR-FU-10003799,5
OFF-BI-10002852,9,Ibico Standard Transparent Covers,OFF-BI-10002852,275.216,OFF-BI-10002852,9
OFF-BI-10004738,9,Flexible Leather- Look Classic Collection Ring Binder,OFF-BI-10004738,142.05,OFF-BI-10004738,6
FUR-FU-10000629,6,9-3/4 Diameter Round Wall Clock,FUR-FU-10000629,455.07,FUR-FU-10000629,8
OFF-BI-10001721,9,Trimflex Flexible Post Binders,OFF-BI-10001721,346.356,OFF-BI-10001721,4
OFF-AP-10000358,10,Fellowes Basic Home/Office Series Surge Protectors,OFF-AP-10000358,436.12800000000004,OFF-AP-10000358,9
OFF-PA-10003256,11,Avery Personal Creations Heavyweight Cards,OFF-PA-10003256,103.86,OFF-PA-10003256,3
TEC-AC-10001767,12,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,TEC-AC-10001767,927.768,TEC-AC-10001767,6
OFF-BI-10002609,9,Avery Hidden Tab Dividers for Binding Systems,OFF-BI-10002609,31.588,OFF-BI-10002609,7
OFF-PA-10004040,11,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),OFF-PA-10004040,129.168,OFF-PA-10004040,5
TEC-AC-10001552,12,Logitech K350 2.4Ghz Wireless Keyboard,TEC-AC-10001552,1154.664,TEC-AC-10001552,5
FUR-FU-10004006,6,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",FUR-FU-10004006,673.87,FUR-FU-10004006,6
OFF-BI-10002794,9,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",OFF-BI-10002794,545.034,OFF-BI-10002794,7
TEC-AC-10003499,12,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,TEC-AC-10003499,194.54399999999998,TEC-AC-10003499,5
TEC-PH-10002844,8,Speck Products Candyshell Flip Case,TEC-PH-10002844,188.946,TEC-PH-10002844,4
OFF-AR-10000390,7,Newell Chalk Holder,OFF-AR-10000390,83.426,OFF-AR-10000390,7
TEC-AC-10000844,12,Logitech Gaming G510s - Keyboard,TEC-AC-10000844,2362.7219999999998,TEC-AC-10000844,8
FUR-FU-10001934,6,Magnifier Swing Arm Lamp,FUR-FU-10001934,251.76000000000002,FUR-FU-10001934,5
OFF-AR-10000380,7,"Hunt PowerHouse Electric Pencil Sharpener, Blue",OFF-AR-10000380,1617.9479999999999,OFF-AR-10000380,10
OFF-BI-10003981,9,"Avery Durable Plastic 1"" Binders",OFF-BI-10003981,116.224,OFF-BI-10003981,7
OFF-FA-10000621,14,"OIC Colored Binder Clips, Assorted Sizes",OFF-FA-10000621,139.62,OFF-FA-10000621,7
OFF-EN-10002600,13,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",OFF-EN-10002600,93.22,OFF-EN-10002600,7
OFF-PA-10004965,11,Xerox 1921,OFF-PA-10004965,55.944,OFF-PA-10004965,3
OFF-EN-10002504,13,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",OFF-EN-10002504,570.78,OFF-EN-10002504,7
FUR-TA-10001768,4,Hon Racetrack Conference Tables,FUR-TA-10001768,3963.901,FUR-TA-10001768,6
OFF-BI-10003650,9,GBC DocuBind 300 Electric Binding Machine,OFF-BI-10003650,6785.142,OFF-BI-10003650,8
FUR-FU-10002157,6,Artistic Insta-Plaque,FUR-FU-10002157,156.8,FUR-FU-10002157,3
OFF-ST-10000777,5,"Companion Letter/Legal File, Black",OFF-ST-10000777,611.712,OFF-ST-10000777,5
OFF-EN-10002500,13,Globe Weis Peel & Seel First Class Envelopes,OFF-EN-10002500,375.73199999999997,OFF-EN-10002500,7
TEC-PH-10003875,8,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,TEC-PH-10003875,126.36000000000001,TEC-PH-10003875,3
FUR-CH-10004063,2,Global Deluxe High-Back Manager's Chair,FUR-CH-10004063,8665.194,FUR-CH-10004063,8
FUR-TA-10004534,4,Bevis 44 x 96 Conference Tables,FUR-TA-10004534,3253.2200000000003,FUR-TA-10004534,5
OFF-BI-10003274,9,"Avery Durable Slant Ring Binders, No Labels",OFF-BI-10003274,89.55,OFF-BI-10003274,9
OFF-ST-10002974,5,"Trav-L-File Heavy-Duty Shuttle II, Black",OFF-ST-10002974,1193.818,OFF-ST-10002974,7
FUR-CH-10001146,2,"Global Task Chair, Black",FUR-CH-10001146,2247.176,FUR-CH-10001146,14
FUR-FU-10003773,6,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,FUR-FU-10003773,1304.1280000000002,FUR-FU-10003773,5
TEC-PH-10002293,8,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,TEC-PH-10002293,339.83,TEC-PH-10002293,6
OFF-PA-10002377,11,Xerox 1916,OFF-PA-10002377,1004.652,OFF-PA-10002377,14
OFF-FA-10002780,14,Staples,OFF-FA-10002780,92.976,OFF-FA-10002780,5
OFF-PA-10001804,11,Xerox 195,OFF-PA-10001804,164.328,OFF-PA-10001804,8
OFF-PA-10001736,11,Xerox 1880,OFF-PA-10001736,623.744,OFF-PA-10001736,5
OFF-AR-10001149,7,"Sanford Colorific Colored Pencils, 12/Box",OFF-AR-10001149,80.952,OFF-AR-10001149,7
OFF-FA-10002988,14,Ideal Clamps,OFF-FA-10002988,58.69199999999999,OFF-FA-10002988,8
OFF-BI-10004781,9,GBC Wire Binding Strips,OFF-BI-10004781,212.65800000000002,OFF-BI-10004781,5
OFF-SU-10001218,15,Fiskars Softgrip Scissors,OFF-SU-10001218,307.44,OFF-SU-10001218,7
OFF-AR-10000940,7,Newell 343,OFF-AR-10000940,65.268,OFF-AR-10000940,7
OFF-EN-10004030,13,Convenience Packs of Business Envelopes,OFF-EN-10004030,58.644,OFF-EN-10004030,6
OFF-PA-10004327,11,Xerox 1911,OFF-PA-10004327,603.54,OFF-PA-10004327,5
OFF-AP-10001058,10,Sanyo 2.5 Cubic Foot Mid-Size Office Refrigerators,OFF-AP-10001058,4476.96,OFF-AP-10001058,4
FUR-FU-10000521,6,"Seth Thomas 14"" Putty-Colored Wall Clock",FUR-FU-10000521,357.948,FUR-FU-10000521,4
TEC-PH-10000215,8,Plantronics Cordless Phone Headset with In-line Volume - M214C,TEC-PH-10000215,908.7,TEC-PH-10000215,6
TEC-PH-10001448,8,Anker Astro 15000mAh USB Portable Charger,TEC-PH-10001448,599.88,TEC-PH-10001448,5
OFF-BI-10002735,9,GBC Prestige Therm-A-Bind Covers,OFF-BI-10002735,970.973,OFF-BI-10002735,9
OFF-AP-10000326,10,Belkin 7 Outlet SurgeMaster Surge Protector with Phone Protection,OFF-AP-10000326,157.92,OFF-AP-10000326,1
TEC-PH-10001254,8,Jabra BIZ 2300 Duo QD Duo Corded Headset,TEC-PH-10001254,1727.0639999999999,TEC-PH-10001254,4
OFF-PA-10001950,11,Southworth 25% Cotton Antique Laid Paper & Envelopes,OFF-PA-10001950,193.488,OFF-PA-10001950,4
OFF-PA-10002254,11,Xerox 1883,OFF-PA-10002254,881.092,OFF-PA-10002254,7
OFF-ST-10001590,5,"Tenex Personal Project File with Scoop Front Design, Black",OFF-ST-10001590,436.752,OFF-ST-10001590,8
OFF-AR-10001547,7,Newell 311,OFF-AR-10001547,61.438,OFF-AR-10001547,8
OFF-LA-10002475,3,Avery 519,OFF-LA-10002475,121.34599999999999,OFF-LA-10002475,6
TEC-PH-10004536,8,Avaya 5420 Digital phone,TEC-PH-10004536,1538.886,TEC-PH-10004536,3
OFF-PA-10002751,11,Xerox 1920,OFF-PA-10002751,89.7,OFF-PA-10002751,4
TEC-AC-10003657,12,Lenovo 17-Key USB Numeric Keypad,TEC-AC-10003657,367.092,TEC-AC-10003657,5
OFF-EN-10001990,13,Staple envelope,OFF-EN-10001990,130.64,OFF-EN-10001990,6
OFF-BI-10004002,9,Wilson Jones International Size A4 Ring Binders,OFF-BI-10004002,174.73000000000002,OFF-BI-10004002,7
OFF-AR-10004441,7,BIC Brite Liner Highlighters,OFF-AR-10004441,86.112,OFF-AR-10004441,7
TEC-MA-10000822,16,Lexmark MX611dhe Monochrome Laser Printer,TEC-MA-10000822,16829.901,TEC-MA-10000822,4
OFF-ST-10000991,5,Space Solutions HD Industrial Steel Shelving.,OFF-ST-10000991,3035.208,OFF-ST-10000991,8
FUR-CH-10004287,2,SAFCO Arco Folding Chair,FUR-CH-10004287,11572.78,FUR-CH-10004287,13
OFF-AR-10002656,7,Sanford Liquid Accent Highlighters,OFF-AR-10002656,149.632,OFF-AR-10002656,5
OFF-AP-10002518,10,Kensington 7 Outlet MasterPiece Power Center,OFF-AP-10002518,2883.276,OFF-AP-10002518,5
TEC-PH-10003931,8,JBL Micro Wireless Portable Bluetooth Speaker,TEC-PH-10003931,779.87,TEC-PH-10003931,6
OFF-PA-10000659,11,"Adams Phone Message Book, Professional, 400 Message Capacity, 5 3/6” x 11”",OFF-PA-10000659,501.392,OFF-PA-10000659,7
OFF-PA-10001144,11,Xerox 1913,OFF-PA-10001144,865.4879999999999,OFF-PA-10001144,5
FUR-CH-10003817,2,"Global Value Steno Chair, Gray",FUR-CH-10003817,2204.862,FUR-CH-10003817,10
OFF-AP-10000891,10,Kensington 7 Outlet MasterPiece HOMEOFFICE Power Control Center,OFF-AP-10000891,2491.28,OFF-AP-10000891,5
OFF-LA-10003148,3,Avery 51,OFF-LA-10003148,95.75999999999999,OFF-LA-10003148,5
OFF-AP-10002684,10,"Acco 7-Outlet Masterpiece Power Center, Wihtout Fax/Phone Line Protection",OFF-AP-10002684,2796.3399999999997,OFF-AP-10002684,6
FUR-CH-10004698,2,"Padded Folding Chairs, Black, 4/Carton",FUR-CH-10004698,1830.148,FUR-CH-10004698,8
OFF-SU-10002189,15,Acme Rosewood Handle Letter Opener,OFF-SU-10002189,43.67,OFF-SU-10002189,3
OFF-AR-10001940,7,"Sanford Colorific Eraseable Coloring Pencils, 12 Count",OFF-AR-10001940,45.919999999999995,OFF-AR-10001940,4
OFF-ST-10003455,5,"Tenex File Box, Personal Filing Tote with Lid, Black",OFF-ST-10003455,338.118,OFF-ST-10003455,7
TEC-AC-10004659,12,Imation Secure+ Hardware Encrypted USB 2.0 Flash Drive; 16GB,TEC-AC-10004659,1926.9360000000001,TEC-AC-10004659,5
TEC-PH-10003273,8,AT&T TR1909W,TEC-PH-10003273,1738.662,TEC-PH-10003273,4
TEC-PH-10004896,8,Nokia Lumia 521 (T-Mobile),TEC-PH-10004896,515.828,TEC-PH-10004896,5
TEC-AC-10002345,12,HP Standard 104 key PS/2 Keyboard,TEC-AC-10002345,275.5,TEC-AC-10002345,6
OFF-BI-10001890,9,Avery Poly Binder Pockets,OFF-BI-10001890,78.044,OFF-BI-10001890,8
TEC-AC-10002323,12,SanDisk Ultra 32 GB MicroSDHC Class 10 Memory Card,TEC-AC-10002323,884.0,TEC-AC-10002323,11
OFF-ST-10001328,5,"Personal Filing Tote with Lid, Black/Gray",OFF-ST-10001328,459.096,OFF-ST-10001328,8
FUR-BO-10002613,1,"Atlantic Metals Mobile 4-Shelf Bookcases, Custom Colors",FUR-BO-10002613,5184.081,FUR-BO-10002613,6
TEC-PH-10001552,8,I Need's 3d Hello Kitty Hybrid Silicone Case Cover for HTC One X 4g with 3d Hello Kitty Stylus Pen Green/pink,TEC-PH-10001552,542.984,TEC-PH-10001552,10
OFF-PA-10000061,11,Xerox 205,OFF-PA-10000061,150.336,OFF-PA-10000061,4
OFF-AR-10003514,7,4009 Highlighters by Sanford,OFF-AR-10003514,171.14,OFF-AR-10003514,8
OFF-AR-10004685,7,"Binney & Smith Crayola Metallic Colored Pencils, 8-Color Set",OFF-AR-10004685,88.896,OFF-AR-10004685,7
OFF-AR-10004027,7,"Binney & Smith inkTank Erasable Desk Highlighter, Chisel Tip, Yellow, 12/Box",OFF-AR-10004027,17.64,OFF-AR-10004027,3
OFF-ST-10001414,5,Decoflex Hanging Personal Folder File,OFF-ST-10001414,46.26,OFF-ST-10001414,1
OFF-BI-10000343,9,"Pressboard Covers with Storage Hooks, 9 1/2"" x 11"", Light Blue",OFF-BI-10000343,102.619,OFF-BI-10000343,12
OFF-PA-10002749,11,"Wirebound Message Books, 5-1/2 x 4 Forms, 2 or 4 Forms per Page",OFF-PA-10002749,72.25200000000001,OFF-PA-10002749,3
OFF-PA-10002666,11,Southworth 25% Cotton Linen-Finish Paper & Envelopes,OFF-PA-10002666,166.704,OFF-PA-10002666,4
FUR-TA-10004289,4,BoxOffice By Design Rectangular and Half-Moon Meeting Room Tables,FUR-TA-10004289,1706.25,FUR-TA-10004289,3
OFF-AP-10003622,10,"Bravo II Megaboss 12-Amp Hard Body Upright, Replacement Belts, 2 Belts per Pack",OFF-AP-10003622,65.0,OFF-AP-10003622,4
OFF-AP-10003217,10,Eureka Sanitaire  Commercial Upright,OFF-AP-10003217,1524.5320000000002,OFF-AP-10003217,3
FUR-FU-10002960,6,"Eldon 200 Class Desk Accessories, Burgundy",FUR-FU-10002960,135.648,FUR-FU-10002960,5
TEC-PH-10001918,8,Nortel Business Series Terminal T7208 Digital phone,TEC-PH-10001918,1000.728,TEC-PH-10001918,3
OFF-ST-10000642,5,"Tennsco Lockers, Gray",OFF-ST-10000642,402.816,OFF-ST-10000642,6
TEC-PH-10001700,8,Panasonic KX-TG6844B Expandable Digital Cordless Telephone,TEC-PH-10001700,1135.028,TEC-PH-10001700,7
OFF-FA-10000134,14,"Advantus Push Pins, Aluminum Head",OFF-FA-10000134,139.44,OFF-FA-10000134,5
OFF-ST-10001522,5,"Gould Plastics 18-Pocket Panel Bin, 34w x 5-1/4d x 20-1/2h",OFF-ST-10001522,2299.75,OFF-ST-10001522,10
TEC-AC-10001266,12,Memorex Micro Travel Drive 8 GB,TEC-AC-10001266,299.0,TEC-AC-10001266,8
OFF-LA-10004544,3,Avery 505,OFF-LA-10004544,372.96000000000004,OFF-LA-10004544,7
FUR-BO-10004695,1,O'Sullivan 2-Door Barrister Bookcase in Odessa Pine,FUR-BO-10004695,4886.46,FUR-BO-10004695,7
TEC-MA-10000864,16,Cisco 9971 IP Video Phone Charcoal,TEC-MA-10000864,4268.0,TEC-MA-10000864,2
TEC-AC-10000109,12,Sony Micro Vault Click 16 GB USB 2.0 Flash Drive,TEC-AC-10000109,1489.334,TEC-AC-10000109,9
TEC-PH-10002563,8,Adtran 1202752G1,TEC-PH-10002563,1990.6419999999998,TEC-PH-10002563,5
OFF-FA-10000585,14,OIC Bulk Pack Metal Binder Clips,OFF-FA-10000585,92.136,OFF-FA-10000585,8
OFF-PA-10004000,11,"While You Were Out Pads, 50 per Pad, 4 x 5 1/4, Green Cycle",OFF-PA-10004000,50.138000000000005,OFF-PA-10004000,4
FUR-FU-10000087,6,"Executive Impressions 14"" Two-Color Numerals Wall Clock",FUR-FU-10000087,308.99199999999996,FUR-FU-10000087,6
TEC-MA-10001148,16,Swingline SM12-08 MicroCut Jam Free Shredder,TEC-MA-10001148,5204.241,TEC-MA-10001148,5
OFF-AR-10001958,7,Stanley Bostitch Contemporary Electric Pencil Sharpeners,OFF-AR-10001958,275.076,OFF-AR-10001958,7
OFF-AR-10001026,7,"Sanford Uni-Blazer View Highlighters, Chisel Tip, Yellow",OFF-AR-10001026,30.799999999999997,OFF-AR-10001026,3
FUR-TA-10003748,4,Bevis 36 x 72 Conference Tables,FUR-TA-10003748,4332.252,FUR-TA-10003748,8
OFF-ST-10002485,5,Rogers Deluxe File Chest,OFF-ST-10002485,443.99600000000004,OFF-ST-10002485,8
FUR-CH-10004860,2,Global Low Back Tilter Chair,FUR-CH-10004860,1746.9540000000002,FUR-CH-10004860,8
FUR-CH-10004477,2,"Global Push Button Manager's Chair, Indigo",FUR-CH-10004477,2185.951,FUR-CH-10004477,9
