Order_Detail_ID,Order_ID,Product_ID,Sales,Sales_Category,High_Value_Sale
37,CA-2017-117590,FUR-FU-10003664,190.92,Medium,No
38,CA-2016-117415,OFF-EN-10002986,113.328,Medium,No
39,CA-2016-117415,FUR-BO-10002545,532.3992,High,Yes
40,CA-2016-117415,FUR-CH-10004218,212.058,Medium,No
41,CA-2016-117415,TEC-PH-10000486,371.168,Medium,No
42,CA-2018-120999,TEC-PH-10004093,147.168,Medium,No
43,CA-2017-101343,OFF-ST-10003479,77.88,Low,No
44,CA-2018-139619,OFF-ST-10003282,95.616,Low,No
45,CA-2017-118255,TEC-AC-10000171,45.98,Low,No
46,CA-2017-118255,OFF-BI-10003291,17.46,Low,No
47,CA-2015-146703,OFF-ST-10001713,211.96,Medium,No
48,CA-2017-169194,TEC-AC-10002167,45.0,Low,No
49,CA-2017-169194,TEC-PH-10003988,21.8,Low,No
50,CA-2016-115742,OFF-BI-10004410,38.22,Low,No
51,CA-2016-115742,OFF-LA-10002762,75.18,Low,No
52,CA-2016-115742,FUR-FU-10001706,6.16,Low,No
53,CA-2016-115742,FUR-CH-10003061,89.99,Low,No
54,CA-2017-105816,OFF-FA-10000304,15.26,Low,No
55,CA-2017-105816,TEC-PH-10002447,1029.95,High,Yes
56,CA-2017-111682,OFF-ST-10000604,208.56,Medium,No
57,CA-2017-111682,OFF-PA-10001569,32.4,Low,No
58,CA-2017-111682,FUR-CH-10003968,319.41,Medium,No
59,CA-2017-111682,OFF-PA-10000587,14.56,Low,No
60,CA-2017-111682,TEC-AC-10002167,30.0,Low,No
61,CA-2017-111682,OFF-BI-10001460,48.48,Low,No
62,CA-2017-111682,OFF-AR-10001868,1.68,Low,No
63,CA-2016-135545,TEC-AC-10004633,13.98,Low,No
64,CA-2016-135545,OFF-BI-10001078,25.824,Low,No
65,CA-2016-135545,OFF-PA-10003892,146.73,Medium,No
66,CA-2016-135545,FUR-FU-10000397,79.76,Low,No
67,US-2016-164175,FUR-CH-10001146,213.115,Medium,No
68,CA-2015-106376,OFF-AR-10002671,1113.024,High,Yes
69,CA-2015-106376,TEC-PH-10002726,167.968,Medium,No
70,CA-2017-119823,OFF-PA-10000482,75.88,Low,No
71,CA-2017-106075,OFF-BI-10004654,4.616,Low,No
72,CA-2018-114440,OFF-PA-10004675,19.05,Low,No
73,US-2016-134026,FUR-CH-10000513,831.936,High,Yes
74,US-2016-134026,FUR-FU-10003708,97.04,Low,No
75,US-2016-134026,OFF-ST-10004123,72.784,Low,No
76,US-2018-118038,OFF-BI-10004182,1.248,Low,No
77,US-2018-118038,FUR-FU-10000260,9.708,Low,No
78,US-2018-118038,OFF-ST-10000615,27.24,Low,No
79,US-2015-147606,FUR-FU-10003194,19.3,Low,No
80,CA-2017-127208,OFF-AP-10002118,208.16,Medium,No
81,CA-2017-127208,OFF-BI-10002309,16.74,Low,No
82,CA-2015-139451,OFF-AR-10002053,14.9,Low,No
83,CA-2015-139451,OFF-ST-10002370,21.39,Low,No
84,CA-2016-149734,OFF-EN-10000927,200.984,Medium,No
85,US-2018-119662,OFF-ST-10003656,230.376,Medium,No
86,CA-2018-140088,FUR-CH-10000863,301.96,Medium,No
87,CA-2018-155558,TEC-AC-10001998,19.99,Low,No
88,CA-2018-155558,OFF-LA-10000134,6.16,Low,No
89,CA-2017-159695,OFF-ST-10003442,158.368,Medium,No
90,CA-2017-109806,OFF-AR-10004930,20.1,Low,No
91,CA-2017-109806,TEC-PH-10004093,73.584,Low,No
92,CA-2017-109806,OFF-PA-10000304,6.48,Low,No
93,CA-2016-149587,OFF-PA-10003177,12.96,Low,No
94,CA-2016-149587,FUR-FU-10003799,53.34,Low,No
95,CA-2016-149587,OFF-BI-10002852,32.96,Low,No
96,US-2018-109484,OFF-BI-10004738,5.682,Low,No
97,CA-2018-161018,FUR-FU-10000629,96.53,Low,No
98,CA-2018-157833,OFF-BI-10001721,51.312,Low,No
99,CA-2017-149223,OFF-AP-10000358,77.88,Low,No
100,CA-2017-158568,OFF-PA-10003256,64.624,Low,No
101,CA-2017-158568,TEC-AC-10001767,95.976,Low,No
102,CA-2017-158568,OFF-BI-10002609,1.788,Low,No
103,CA-2017-129903,OFF-PA-10004040,23.92,Low,No
104,US-2016-156867,TEC-AC-10001552,238.896,Medium,No
105,US-2016-156867,FUR-FU-10004006,102.36,Medium,No
106,US-2016-156867,OFF-BI-10002794,36.882,Low,No
107,CA-2018-119004,TEC-AC-10003499,74.112,Low,No
108,CA-2018-119004,TEC-PH-10002844,27.992,Low,No
109,CA-2018-119004,OFF-AR-10000390,3.304,Low,No
110,CA-2016-129476,TEC-AC-10000844,339.96,Medium,No
111,CA-2018-146780,FUR-FU-10001934,41.96,Low,No
112,CA-2017-128867,OFF-AR-10000380,75.96,Low,No
113,CA-2017-128867,OFF-BI-10003981,27.24,Low,No
114,CA-2015-115259,OFF-FA-10000621,40.096,Low,No
115,CA-2015-115259,OFF-EN-10002600,4.72,Low,No
116,CA-2015-115259,OFF-PA-10004965,23.976,Low,No
117,CA-2015-115259,OFF-EN-10002504,130.464,Medium,No
118,CA-2016-110457,FUR-TA-10001768,787.53,High,Yes
119,US-2016-136476,OFF-BI-10003650,157.794,Medium,No
120,CA-2017-103730,FUR-FU-10002157,47.04,Low,No
121,CA-2017-103730,OFF-BI-10003910,30.84,Low,No
122,CA-2017-103730,OFF-ST-10000777,226.56,Medium,No
123,CA-2017-103730,OFF-EN-10002500,115.02,Medium,No
124,CA-2017-103730,TEC-PH-10003875,68.04,Low,No
125,US-2015-152030,FUR-CH-10004063,600.558,High,Yes
126,US-2015-134614,FUR-TA-10004534,617.7,High,Yes
127,US-2018-107272,OFF-BI-10003274,2.388,Low,No
128,US-2018-107272,OFF-ST-10002974,243.992,Medium,No
129,US-2017-125969,FUR-CH-10001146,81.424,Low,No
130,US-2017-125969,FUR-FU-10003773,238.56,Medium,No
131,US-2018-164147,TEC-PH-10002293,59.97,Low,No
132,US-2018-164147,OFF-PA-10002377,78.304,Low,No
133,US-2018-164147,OFF-FA-10002780,21.456,Low,No
134,CA-2017-145583,OFF-PA-10001804,20.04,Low,No
135,CA-2017-145583,OFF-PA-10001736,35.44,Low,No
136,CA-2017-145583,OFF-AR-10001149,11.52,Low,No
137,CA-2017-145583,OFF-FA-10002988,4.02,Low,No
138,CA-2017-145583,OFF-BI-10004781,76.176,Low,No
139,CA-2017-145583,OFF-SU-10001218,65.88,Low,No
140,CA-2017-145583,FUR-FU-10001706,43.12,Low,No
141,CA-2017-110366,FUR-FU-10004848,82.8,Low,No
142,CA-2018-106180,OFF-AR-10000940,8.82,Low,No
143,CA-2018-106180,OFF-EN-10004030,10.86,Low,No
144,CA-2018-106180,OFF-PA-10004327,143.7,Medium,No
145,CA-2018-155376,OFF-AP-10001058,839.43,High,Yes
146,CA-2016-110744,OFF-ST-10003656,671.93,High,Yes
147,CA-2015-110072,FUR-FU-10000521,93.888,Low,No
148,CA-2017-114489,TEC-PH-10000215,384.45,Medium,No
149,CA-2017-114489,TEC-PH-10001448,149.97,Medium,No
150,CA-2017-114489,FUR-CH-10000454,1951.84,High,Yes
151,CA-2017-114489,OFF-BI-10002735,171.55,Medium,No
152,CA-2017-158834,OFF-AP-10000326,157.92,Medium,No
153,CA-2017-158834,TEC-PH-10001254,203.184,Medium,No
154,CA-2016-124919,OFF-PA-10001950,58.38,Low,No
155,CA-2016-124919,OFF-PA-10002254,105.52,Medium,No
156,CA-2016-124919,OFF-ST-10001590,80.88,Low,No
157,CA-2016-118948,OFF-AR-10001547,6.63,Low,No
158,CA-2015-104269,FUR-CH-10004063,457.568,Medium,No
159,CA-2017-114104,OFF-LA-10002475,14.62,Low,No
160,CA-2017-114104,TEC-PH-10004536,944.93,High,Yes
161,CA-2017-162733,OFF-PA-10002751,5.98,Low,No
162,CA-2016-119697,TEC-AC-10003657,54.384,Low,No
163,CA-2017-154508,OFF-EN-10001990,28.4,Low,No
164,CA-2017-113817,OFF-BI-10004002,27.68,Low,No
165,CA-2015-139892,OFF-AR-10004441,9.936,Low,No
166,CA-2015-139892,TEC-MA-10000822,8159.952,High,Yes
167,CA-2015-139892,OFF-ST-10000991,275.928,Medium,No
168,CA-2015-139892,FUR-CH-10004287,1740.06,High,Yes
169,CA-2015-139892,OFF-AR-10002656,32.064,Low,No
170,CA-2015-139892,OFF-AP-10002518,177.98,Medium,No
171,CA-2015-139892,TEC-PH-10003931,143.976,Medium,No
172,CA-2015-118962,OFF-PA-10000659,20.94,Low,No
173,CA-2015-118962,OFF-PA-10001144,110.96,Medium,No
174,CA-2015-118962,FUR-CH-10003817,340.144,Medium,No
175,US-2015-100853,OFF-AP-10000891,52.448,Low,No
176,US-2015-100853,OFF-LA-10003148,20.16,Low,No
177,US-2018-152366,OFF-AP-10002684,97.264,Low,No
178,US-2016-101511,FUR-CH-10004698,396.802,Medium,No
179,US-2016-101511,OFF-SU-10002189,15.88,Low,No
180,CA-2016-137225,OFF-AR-10001940,3.28,Low,No
181,CA-2015-166191,OFF-ST-10003455,24.816,Low,No
182,CA-2015-166191,TEC-AC-10004659,408.744,Medium,No
183,CA-2015-158274,TEC-PH-10003273,503.96,High,Yes
184,CA-2015-158274,TEC-PH-10004896,149.95,Medium,No
185,CA-2015-158274,TEC-AC-10002345,29.0,Low,No
186,CA-2017-105018,OFF-BI-10001890,7.16,Low,No
187,CA-2015-123260,TEC-AC-10002323,176.8,Medium,No
188,CA-2017-157000,OFF-ST-10001328,37.224,Low,No
189,CA-2017-157000,OFF-PA-10001950,20.016,Low,No
190,CA-2016-102281,FUR-BO-10002613,899.136,High,Yes
191,CA-2016-102281,TEC-PH-10001552,71.76,Low,No
192,CA-2016-102281,OFF-PA-10000061,51.84,Low,No
193,CA-2016-102281,FUR-BO-10002545,626.352,High,Yes
194,CA-2016-102281,OFF-AR-10003514,19.9,Low,No
195,CA-2016-131457,OFF-EN-10001509,14.28,Low,No
196,CA-2015-140004,OFF-AR-10004685,7.408,Low,No
197,CA-2015-140004,OFF-AR-10004027,6.048,Low,No
198,CA-2018-107720,OFF-ST-10001414,46.26,Low,No
199,US-2018-124303,OFF-BI-10000343,2.946,Low,No
200,US-2018-124303,OFF-PA-10002749,16.056,Low,No
201,CA-2018-105074,OFF-PA-10002666,21.744,Low,No
202,CA-2015-133690,FUR-TA-10004289,218.75,Medium,No
203,CA-2015-133690,OFF-AP-10003622,2.6,Low,No
204,US-2018-116701,OFF-AP-10003217,66.284,Low,No
205,CA-2018-126382,FUR-FU-10002960,35.168,Low,No
206,CA-2018-108329,TEC-PH-10001918,444.768,Medium,No
207,CA-2018-135860,OFF-ST-10000642,83.92,Low,No
208,CA-2018-135860,TEC-PH-10001700,131.98,Medium,No
209,CA-2018-135860,OFF-BI-10003274,15.92,Low,No
210,CA-2018-135860,OFF-FA-10000134,52.29,Low,No
211,CA-2018-135860,OFF-ST-10001522,91.99,Low,No
212,CA-2016-101007,TEC-AC-10001266,20.8,Low,No
213,CA-2016-146262,OFF-LA-10004544,23.68,Low,No
214,CA-2016-146262,FUR-BO-10004695,452.45,Medium,No
215,CA-2016-146262,TEC-PH-10002844,62.982,Low,No
216,CA-2016-146262,TEC-MA-10000864,1188.0,High,Yes
217,CA-2016-146262,TEC-AC-10000109,89.584,Low,No
218,CA-2017-130162,OFF-ST-10001328,93.06,Low,No
219,CA-2017-130162,TEC-PH-10002563,302.376,Medium,No
220,CA-2016-169397,OFF-FA-10000585,5.584,Low,No
221,CA-2016-169397,OFF-PA-10004000,22.704,Low,No
222,CA-2016-169397,OFF-BI-10002852,19.776,Low,No
223,CA-2016-169397,FUR-FU-10000087,72.704,Low,No
224,CA-2016-169397,TEC-MA-10001148,479.988,Medium,No
225,CA-2016-169397,OFF-AR-10001958,27.168,Low,No
226,CA-2016-163055,OFF-AR-10001026,2.2,Low,No
227,CA-2016-163055,FUR-TA-10003748,622.45,High,Yes
228,CA-2016-163055,OFF-ST-10002485,21.98,Low,No
229,US-2016-145436,FUR-CH-10004860,161.568,Medium,No
230,US-2016-145436,FUR-CH-10004477,389.696,Medium,No
231,US-2015-156216,OFF-BI-10001679,18.648,Low,No
232,US-2018-100930,FUR-TA-10001705,233.86,Medium,No
233,US-2018-100930,FUR-TA-10003473,620.6145,High,Yes
234,US-2018-100930,OFF-BI-10001679,5.328,Low,No
235,US-2018-100930,FUR-FU-10004017,258.072,Medium,No
236,US-2018-100930,TEC-AC-10003832,617.976,High,Yes
237,CA-2018-160514,OFF-PA-10002479,10.56,Low,No
238,CA-2017-157749,OFF-PA-10003349,25.92,Low,No
239,CA-2017-157749,FUR-FU-10000576,419.68,Medium,No
240,CA-2017-157749,FUR-FU-10004351,11.688,Low,No
241,CA-2017-157749,TEC-PH-10000011,31.984,Low,No
242,CA-2017-157749,FUR-TA-10002607,177.225,Medium,No
243,CA-2017-157749,FUR-FU-10002505,4.044,Low,No
244,CA-2017-157749,OFF-AR-10004685,7.408,Low,No
245,CA-2015-131926,FUR-CH-10004063,2001.86,High,Yes
246,CA-2015-131926,OFF-ST-10002276,166.72,Medium,No
247,CA-2015-131926,OFF-PA-10004082,47.88,Low,No
248,CA-2015-131926,OFF-AP-10002945,1503.25,High,Yes
249,CA-2015-131926,OFF-PA-10000061,25.92,Low,No
250,CA-2017-154739,FUR-CH-10002965,321.568,Medium,No
251,CA-2017-145625,OFF-PA-10004569,7.61,Low,No
252,CA-2017-145625,TEC-AC-10003832,3347.37,High,Yes
253,CA-2017-146941,OFF-ST-10001228,80.58,Low,No
254,CA-2017-146941,OFF-EN-10003296,361.92,Medium,No
255,US-2016-159982,FUR-FU-10002505,12.132,Low,No
256,US-2016-159982,OFF-ST-10004804,82.368,Low,No
257,US-2016-159982,OFF-ST-10001590,53.92,Low,No
258,US-2016-159982,TEC-PH-10001580,647.904,High,Yes
259,CA-2018-163139,TEC-AC-10000290,20.37,Low,No
260,CA-2018-163139,OFF-ST-10002790,221.55,Medium,No
261,CA-2018-163139,OFF-BI-10003460,17.52,Low,No
262,US-2018-155299,OFF-AP-10002203,1.624,Low,No
263,US-2015-106992,TEC-MA-10000822,3059.982,High,Yes
264,US-2015-106992,TEC-MA-10003353,2519.958,High,Yes
265,CA-2017-125318,TEC-PH-10001433,328.224,Medium,No
266,CA-2016-155040,TEC-AC-10004469,79.9,Low,No
267,CA-2018-136826,OFF-AR-10003602,14.016,Low,No
268,CA-2017-111010,OFF-FA-10003472,7.56,Low,No
269,US-2018-145366,OFF-ST-10004180,37.208,Low,No
270,US-2018-145366,OFF-EN-10004386,57.576,Low,No
271,CA-2018-163979,OFF-ST-10003208,725.84,High,Yes
272,CA-2016-155334,TEC-AC-10003628,209.93,Medium,No
273,CA-2016-155334,FUR-FU-10003274,5.28,Low,No
274,CA-2016-155334,OFF-BI-10002557,10.92,Low,No
275,CA-2018-118136,OFF-PA-10002615,8.82,Low,No
276,CA-2018-118136,OFF-AR-10001427,5.98,Low,No
277,CA-2018-132976,OFF-PA-10000673,11.648,Low,No
278,CA-2018-132976,OFF-PA-10004470,18.176,Low,No
279,CA-2018-132976,OFF-ST-10000876,59.712,Low,No
280,CA-2018-132976,OFF-LA-10002043,24.84,Low,No
281,US-2016-161991,OFF-BI-10004967,2.08,Low,No
282,US-2016-161991,TEC-PH-10001760,1114.4,High,Yes
283,CA-2016-130890,FUR-TA-10002903,1038.84,High,Yes
284,CA-2016-130883,OFF-PA-10000474,141.76,Medium,No
285,CA-2016-130883,TEC-AC-10001956,239.8,Medium,No
286,CA-2016-130883,OFF-PA-10004100,31.104,Low,No
287,CA-2017-112697,OFF-BI-10000778,254.058,Medium,No
288,CA-2017-112697,OFF-AP-10002684,194.528,Medium,No
289,CA-2017-112697,OFF-SU-10000646,961.48,High,Yes
290,CA-2017-110772,OFF-FA-10002983,19.096,Low,No
291,CA-2017-110772,OFF-LA-10004689,18.496,Low,No
292,CA-2017-110772,TEC-AC-10002001,255.984,Medium,No
293,CA-2017-110772,FUR-BO-10004709,86.97,Low,No
294,CA-2015-111451,FUR-FU-10004091,300.416,Medium,No
295,CA-2015-111451,FUR-CH-10001891,230.352,Medium,No
296,CA-2015-111451,FUR-FU-10002918,218.352,Medium,No
297,CA-2015-111451,OFF-BI-10004593,78.6,Low,No
298,CA-2015-111451,OFF-FA-10004854,27.552,Low,No
299,CA-2017-142545,OFF-PA-10002105,32.4,Low,No
300,CA-2017-142545,OFF-ST-10002756,1082.48,High,Yes
301,CA-2017-142545,OFF-PA-10004243,56.91,Low,No
302,CA-2017-142545,FUR-FU-10001861,77.6,Low,No
303,CA-2017-142545,OFF-BI-10002706,14.28,Low,No
304,US-2018-152380,FUR-TA-10002533,219.075,Medium,No
305,CA-2016-144253,FUR-FU-10002671,26.8,Low,No
306,CA-2015-130960,OFF-AR-10003651,9.84,Low,No
307,CA-2015-111003,OFF-BI-10001072,45.48,Low,No
308,CA-2015-111003,OFF-AR-10002135,289.2,Medium,No
309,CA-2018-126774,OFF-AR-10002804,4.89,Low,No
310,CA-2017-142902,FUR-FU-10001918,15.136,Low,No
311,CA-2017-142902,FUR-CH-10004086,466.768,Medium,No
312,CA-2017-142902,FUR-FU-10001756,15.232,Low,No
313,CA-2017-142902,OFF-LA-10000634,6.264,Low,No
314,CA-2015-120887,FUR-FU-10001588,87.54,Low,No
315,CA-2015-167850,TEC-PH-10002398,178.384,Medium,No
316,CA-2015-167850,OFF-PA-10001937,15.552,Low,No
317,CA-2015-164259,OFF-AR-10003373,99.136,Low,No
318,CA-2015-164973,FUR-CH-10002602,135.882,Medium,No
319,CA-2015-164973,TEC-MA-10002927,3991.98,High,Yes
320,CA-2015-164973,TEC-PH-10004093,275.94,Medium,No
321,CA-2015-164973,TEC-AC-10000892,360.0,Medium,No
322,CA-2015-164973,OFF-ST-10002974,43.57,Low,No
323,CA-2015-156601,OFF-FA-10000624,7.16,Low,No
324,CA-2017-162138,OFF-BI-10004593,251.52,Medium,No
325,CA-2017-162138,TEC-AC-10001908,99.99,Low,No
326,CA-2018-153339,FUR-FU-10001967,15.992,Low,No
327,US-2017-141544,TEC-PH-10003645,290.898,Medium,No
328,US-2017-141544,OFF-ST-10000675,54.224,Low,No
329,US-2017-141544,FUR-CH-10003312,786.744,High,Yes
330,US-2017-141544,OFF-LA-10001074,100.24,Medium,No
331,US-2017-141544,OFF-BI-10001524,37.764,Low,No
332,US-2017-150147,TEC-PH-10004614,82.8,Low,No
333,US-2017-150147,OFF-BI-10001153,20.724,Low,No
334,US-2017-150147,OFF-BI-10001982,4.896,Low,No
335,CA-2016-137946,OFF-BI-10001922,4.752,Low,No
336,CA-2016-137946,TEC-CO-10001449,959.984,High,Yes
337,CA-2016-137946,OFF-BI-10004140,14.368,Low,No
338,CA-2015-129924,OFF-BI-10003314,7.712,Low,No
339,CA-2015-129924,FUR-TA-10004575,698.352,High,Yes
340,CA-2016-128167,OFF-FA-10000490,4.96,Low,No
341,CA-2015-122336,OFF-AR-10000122,17.856,Low,No
342,CA-2015-122336,OFF-BI-10003656,509.97,High,Yes
343,CA-2015-122336,OFF-FA-10002780,30.992,Low,No
344,CA-2015-122336,TEC-PH-10000702,71.928,Low,No
345,US-2016-120712,OFF-ST-10000107,88.8,Low,No
346,CA-2018-169901,TEC-PH-10002293,47.976,Low,No
347,CA-2018-134306,OFF-AR-10004027,7.56,Low,No
348,CA-2018-134306,OFF-PA-10000249,24.56,Low,No
349,CA-2018-134306,OFF-AR-10001374,12.96,Low,No
350,CA-2017-129714,TEC-AC-10000290,6.79,Low,No
351,CA-2017-129714,OFF-PA-10001970,24.56,Low,No
352,CA-2017-129714,OFF-BI-10002160,3.048,Low,No
353,CA-2017-129714,OFF-PA-10001970,49.12,Low,No
354,CA-2017-129714,OFF-BI-10004995,4355.168,High,Yes
355,CA-2017-138520,FUR-BO-10002268,388.704,Medium,No
356,CA-2017-138520,OFF-EN-10001137,8.26,Low,No
357,CA-2017-138520,OFF-AR-10002399,17.04,Low,No
358,CA-2017-138520,OFF-PA-10002713,34.4,Low,No
359,CA-2017-130001,OFF-PA-10002666,36.24,Low,No
360,CA-2018-155698,OFF-AP-10001124,647.84,High,Yes
361,CA-2018-155698,OFF-LA-10001158,20.7,Low,No
362,CA-2018-144904,OFF-LA-10001158,20.7,Low,No
363,CA-2018-144904,FUR-CH-10000785,488.646,Medium,No
364,CA-2018-144904,OFF-AR-10003732,5.56,Low,No
365,CA-2018-144904,FUR-FU-10000023,47.12,Low,No
366,CA-2015-123344,OFF-ST-10001713,211.96,Medium,No
367,CA-2017-155516,OFF-BI-10002412,23.2,Low,No
368,CA-2017-155516,OFF-SU-10001225,7.36,Low,No
369,CA-2017-155516,OFF-ST-10002406,104.79,Medium,No
370,CA-2017-155516,FUR-BO-10002545,1043.92,High,Yes
371,CA-2018-104745,OFF-PA-10002036,25.92,Low,No
372,CA-2018-104745,OFF-ST-10002205,53.424,Low,No
373,US-2015-119137,OFF-BI-10001982,8.16,Low,No
374,US-2015-119137,TEC-AC-10003911,1023.936,High,Yes
375,US-2015-119137,OFF-AR-10000658,9.24,Low,No
376,US-2015-119137,TEC-AC-10002076,479.04,Medium,No
377,US-2017-134656,OFF-PA-10003039,99.136,Low,No
378,US-2018-134481,FUR-TA-10004915,1488.424,High,Yes
379,CA-2016-130792,OFF-AP-10000696,8.652,Low,No
380,CA-2016-130792,OFF-ST-10003327,23.832,Low,No
381,CA-2016-130792,OFF-BI-10000309,12.176,Low,No
382,CA-2017-134775,OFF-PA-10004734,50.96,Low,No
383,CA-2017-134775,OFF-BI-10002225,49.536,Low,No
384,CA-2016-125395,TEC-AC-10004708,41.9,Low,No
385,US-2016-168935,FUR-TA-10000617,375.4575,Medium,No
386,US-2016-168935,TEC-AC-10002335,83.976,Low,No
387,CA-2016-122756,TEC-MA-10001681,482.34,Medium,No
388,CA-2016-122756,FUR-FU-10001935,2.96,Low,No
389,CA-2015-115973,OFF-AR-10004757,2.624,Low,No
390,CA-2018-101798,OFF-BI-10000050,23.36,Low,No
391,CA-2018-101798,TEC-AC-10001998,39.98,Low,No
392,US-2015-135972,TEC-PH-10003012,246.384,Medium,No
393,US-2015-135972,TEC-CO-10002313,1799.97,High,Yes
394,US-2015-134971,OFF-BI-10003982,12.462,Low,No
395,CA-2018-102946,OFF-BI-10004492,75.792,Low,No
396,CA-2018-165603,OFF-ST-10000798,49.96,Low,No
397,CA-2018-165603,OFF-PA-10002552,12.96,Low,No
398,CA-2016-122259,OFF-SU-10002573,70.12,Low,No
399,CA-2017-108987,OFF-ST-10001580,35.952,Low,No
400,CA-2017-108987,FUR-BO-10004834,2396.2656,High,Yes
401,CA-2017-108987,OFF-ST-10000934,131.136,Medium,No
402,CA-2017-108987,TEC-AC-10000158,57.584,Low,No
403,CA-2015-113166,OFF-PA-10001947,9.568,Low,No
404,CA-2015-155208,OFF-AR-10003478,39.072,Low,No
405,CA-2018-117933,OFF-AP-10004249,35.91,Low,No
406,CA-2018-117457,TEC-AC-10000158,179.95,Medium,No
407,CA-2018-117457,TEC-CO-10004115,1199.976,High,Yes
408,CA-2018-117457,OFF-PA-10003724,27.15,Low,No
409,CA-2018-117457,FUR-TA-10002041,1004.024,High,Yes
410,CA-2018-117457,OFF-PA-10002893,9.68,Low,No
411,CA-2018-117457,OFF-LA-10003766,28.35,Low,No
412,CA-2018-117457,OFF-PA-10001970,55.98,Low,No
413,CA-2018-117457,FUR-BO-10001972,1336.829,High,Yes
414,CA-2018-117457,FUR-CH-10003956,113.568,Medium,No
415,CA-2018-142636,OFF-PA-10000157,139.86,Medium,No
416,CA-2018-142636,FUR-CH-10001891,307.136,Medium,No
417,CA-2018-122105,OFF-AR-10004344,95.92,Low,No
418,CA-2017-148796,FUR-CH-10004886,383.8,Medium,No
419,CA-2018-154816,OFF-PA-10003845,5.78,Low,No
420,CA-2018-110478,OFF-AR-10001573,9.32,Low,No
421,CA-2018-110478,OFF-EN-10000483,15.25,Low,No
422,CA-2015-142048,TEC-AC-10004114,196.752,Medium,No
423,CA-2018-125388,FUR-FU-10004712,56.56,Low,No
424,CA-2018-125388,OFF-ST-10000918,32.7,Low,No
425,CA-2018-155705,FUR-CH-10000015,866.4,High,Yes
426,CA-2018-149160,FUR-FU-10003347,28.4,Low,No
427,CA-2018-149160,OFF-BI-10001543,287.92,Medium,No
428,CA-2015-101476,TEC-MA-10000029,69.99,Low,No
429,CA-2018-152275,OFF-AR-10000369,6.672,Low,No
430,US-2017-123750,OFF-BI-10004584,189.588,Medium,No
431,US-2017-123750,TEC-AC-10004659,408.744,Medium,No
432,US-2017-123750,TEC-AC-10004659,291.96,Medium,No
433,US-2017-123750,OFF-ST-10000617,4.768,Low,No
434,CA-2017-127369,OFF-ST-10003306,714.3,High,Yes
435,US-2015-150574,OFF-BI-10000773,4.812,Low,No
436,US-2015-150574,TEC-AC-10002600,247.8,Medium,No
437,CA-2017-147375,TEC-MA-10002937,1007.979,High,Yes
438,CA-2017-147375,OFF-PA-10001970,313.488,Medium,No
439,CA-2018-130043,OFF-PA-10002230,31.872,Low,No
440,CA-2018-157252,FUR-CH-10003396,207.846,Medium,No
441,CA-2017-115756,FUR-FU-10000246,12.22,Low,No
442,CA-2017-115756,OFF-ST-10000060,194.94,Medium,No
443,CA-2017-115756,OFF-ST-10003058,70.95,Low,No
444,CA-2017-115756,OFF-PA-10002222,91.36,Low,No
445,CA-2017-115756,FUR-CH-10002372,242.94,Medium,No
